2026-07-14T17:03:31.516+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000058", "method": "GET", "path": "/api/v1/sync-history", "status": 200, "duration": "89.115ms"}
2026-07-14T17:03:31.524+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000061", "method": "GET", "path": "/api/v1/dashboard/stats", "status": 200, "duration": "28.4845ms"}
2026-07-14T17:03:31.590+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000064", "method": "GET", "path": "/api/v1/devices", "status": 200, "duration": "1.3623ms"}
2026-07-14T17:03:31.592+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000065", "method": "GET", "path": "/api/v1/employees", "status": 200, "duration": "2.0869ms"}
2026-07-14T17:03:31.602+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000066", "method": "GET", "path": "/api/v1/attendance-logs", "status": 200, "duration": "5.7169ms"}
2026-07-14T17:03:31.605+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000069", "method": "GET", "path": "/api/v1/shifts", "status": 200, "duration": "2.1871ms"}
2026-07-14T17:03:31.621+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000070", "method": "GET", "path": "/api/v1/audit-logs", "status": 200, "duration": "13.461ms"}
2026-07-14T17:03:31.632+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000068", "method": "GET", "path": "/api/v1/dashboard/stats", "status": 200, "duration": "29.3797ms"}
2026-07-14T17:03:31.636+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000067", "method": "GET", "path": "/api/v1/sync-history", "status": 200, "duration": "37.3224ms"}
2026-07-14T17:03:31.664+0700	INFO	http/middleware.go:32	http_request	{"request_id": "LAPTOP-AT8PMRGO/LQmAL2DF7p-000071", "method": "GET", "path": "/api/v1/daily-attendance/report", "status": 200, "duration": "24.1004ms"}
